功能名,Function name,register address,Decimal,fields,type,accuracy,units,min,max,Properties,说明,Description,Confidential,Mask computation,,Support single register read,Support single register write,Register linking is supported,Register concatenation is supported,备注(Remarks),Remarks
"内部通信协议
版本号",Internal communication protocol-Version number,0052,,Protocol_ARM-DSPM,,,,0,0xFFFF,R,"ARM和DSPM之间的协议版本号。
高8位对应ARM-DSPM的协议版本号，
低8位对应DSPM-ARM的协议版本号。","Version number of the protocol between ARM and DSPM.
The high 8 bits correspond to the ARM-DSPM protocol version number.
The lower 8 bits correspond to the DSPM-ARM protocol version number.",End-users,,,,,,,"协议版本号需要一致才能正常使用逆变器
根据机型查看是否使用了此功能
例1：0x0102表示ARM-DSPM的协议版本号为001，DSPM-ARM的协议版本号为002
例2：0x0203表示ARM-DSPS的协议版本号为002，DSPS-ARM的协议版本号为003
例3：0x0304表示DSPM-DSPS的协议版本号为003，DSPS-DSPM的协议版本号为004","The protocol version number needs to be the same for the inverter to work properly
Check if this function is used according to the model
Example 1: 0x0102 means the protocol version number of ARM-DSPM is 001, the protocol version number of DSPM-ARM is 002
Example 2: 0x0203 means the protocol version number of ARM-DSPS is 002, the protocol version number of DSPS-ARM is 003
Example 3: 0x0304 means the protocol version number of DSPM-DSPS is 003 and the protocol version number of DSPS-DSPM is 004"
,,0053,,Protocol_ARM-DSPS,,,,0,0xFFFF,R,"ARM和DSPS之间的协议版本号。
高8位对应ARM-DSPS的协议版本号，
低8位对应DSPS-ARM的协议版本号。","Protocol version number between ARM and DSPS.
The high 8 bits correspond to the ARM-DSPS protocol version number, the
The lower 8 bits correspond to the DSPS-ARM protocol version number.",End-users,,,,,,,,
,,0054,,Protocol_DSPM-DSPS,,,,0,0xFFFF,R,"DSPM和DSPS之间的协议版本号。
高8位对应DSPM-DSPS的协议版本号，
低8位对应DSPS-DSPM的协议版本号。","Protocol version number between DSPM and DSPS.
The high 8 bits correspond to the DSPM-DSPS protocol version number, the
The lower 8 bits correspond to the DSPS-DSPM protocol version number.",End-users,,,,,,,,
,,0055 -- 0065,,Protocol_Version_Rsvd4 -- 20,,,,,,,协议版本预留地址4-20（17个）,Protocol version reservation addresses 4-20 (17),,,,,,,,,
,,0066 -- 007D,,,,,,,,,预留,Reserved,,,,,,,,,
客户ID,Customer ID,007E -- 0007F,,客户ID_0 -- 1,,,,,,RW,"区分不同客户使用的ID0-1。
参考客户编码规范
客户ID_0：用于标记客户ID，如默认首航为0x0000。
客户ID_1：备用拓展","Distinguishes IDs 0-1 used by different customers.
Refer to customer coding specification
Customer ID_0: used to mark the customer ID, e.g. default first flight is 0x0000.
Customer ID_1: alternate expansion",End-users,,,,,,,例：天合0x0001、创维0x0002等。,"Example: Trina 0x0001, Skyworth 0x0002, etc."
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
II Real-time data area(0x0400-0x07FF),,,,,,,,,,,,,,,,,,,,,
2.1System Information(0x0400-0x047F),,,,,,,,,,,,,,,,,,,,,
,,0400 -- 0403,1024-1027,AddressMask_Realtime_SysInfo1,U64,,,,,R,"本地址开始的64个寄存器地址字的掩码区。
参看地址0x0040的说明","Mask area for the 64 register address words starting at this address.
Refer to the description of address 0x0040",End-users,00000000,0000000F,,,,,,
运行状态,Operational status,0404,1028 ,SysState,U16,,,,,R,"运行状态。
0：等待状态
1：检测状态
2：并网状态
3：应急供电状态
4：可恢复故障状态
5：永久性故障状态
6：升级状态
7：自充电状态
8：SVG状态
9：PID状态
","Operational status.
0: Waiting status
1: Detection status
2: Grid-connected status
3: Emergency power state
4: Recoverable fault state
5: Permanent fault state
6: Upgrade status
7: Self-charging state
8: SVG state
9: PID state
",End-users,,,,,,,"逆变器的运行状态，3、6-9的状态区分机型
例：0x0004表示逆变器处于可恢复故障状态","Operating status of the inverter, the status of 3, 6-9 distinguishes between models
Example: 0x0004 means that the inverter is in a recoverable fault state"
"故障信息表
2-1","Fault Information Sheet
2-1",0405 -- 0416,1029--1046,Fault1 -- 18,U16,,,,,R,"故障信息表1-18（18个）。
记录逆变器的故障信息，还有扩展的19-30地址在0x0432-043D","Fault information tables 1-18 (18).
Records fault messages for the inverter, and also the extended 19-30 addresses at 0x0432-043D",End-users,,,,,,,"对应故障信息查看此表格的另外一张工作表“故障位域说明”
例：从0x0405读取值为0x0002表示逆变器有电网欠压的故障","Example: a value of 0x0002 from 0x0405 means that the inverter has a grid undervoltage fault"""
并网等待时间,Grid connection waiting time,0417,1047 ,Countdown,U16,1,秒,,,R,并网等待时间(开机倒计时),Grid connection waiting time (countdown to switch-on),End-users,,,,,,,"并网等待时间，可供查看的开机倒计时
例：0x003C指开机时间为60秒","Grid connection waiting time, viewable countdown to switch on
Example: 0x003C refers to a start-up time of 60 seconds"
温度,Temperature,0418 -- 0419,1048--1049,Temperature_Env1 -- 2,I16,1,℃,,,R,环境温度1-2（2个）,Ambient temperature 1-2 (2),End-users,,,,,,,例：0x0001指环境温度1为1℃,Example: 0x0001 means that the ambient temperature1 is 1°C
,,041A -- 041F,1055--1055,Temperature_HeatSink1 -- 6,I16,1,℃,,,R,散热器温度1-6（6个）,Heat sink temperature 1-6 (6),End-users,,,,,,,"是否具备此功能与机型相关，可根据掩码查看是否使用对应寄存器
案例请查看0x0418地址说明","Availability of this function is related to the model, you can check whether the corresponding register is used according to the mask
For example, please check the 0x0418 address description"
,,0420 -- 0422,1056--1058,Temperature_Inv1 -- 3,I16,1,℃,,,R,模块温度1-3（3个）,Module temperature 1-3 (3),End-users,,,,,,,,
,,0423 -- 0425,1059--1061,Temp_Rsvd1 -- 3,I16,1,℃,,,R,预留温度1-3（3个）,Reserved temperature 1-3 (3),End-users,,,,,,,,
发电、运行时间,"Power generation, running time",0426,1062 ,GenerationTime_Today,U16,1,分钟,,,R,当日发电时间,Power generation time for the day,End-users,,,,,,,"逆变器今日的发电时间，并网后开始计时
例：0x0001指当日发电1分钟","Inverter's generation time for the day, starts after grid connection
Example: 0x0001 refers to 1 minute of power generation for the day"
,,0427 -- 0428,1029--1046,GenerationTime_Total,U32,1,分钟,,,R,总发电时间,Total power generation time,End-users,,,,,,,逆变器并网后开始计时，占用两个寄存器，例：0x0000 0x087E指总发电时间为2174分钟,"Inverter starts timing after grid connection, occupies two registers, example: 0x0000 0x087E means total power generation time of 2174 minutes"
,,0429 -- 042A,#NUM!,ServiceTime_Total,U32,1,分钟,,,R,总运行时间,Total runtime,End-users,,,,,,,逆变器上电开始计时，占用两个寄存器，例：0x0000 0x09C5指总运行时间为2501分钟,"The inverter starts timing when it is connected to the grid, occupies two registers, e.g. 0x0000 0x09C5 means the total running time is 2501 minutes"
绝缘阻抗,Insulation impedance,042B,1067 ,InsulationResistance,U16,1,kΩ,,,R,绝缘阻抗,Insulation Impedance,End-users,,,,,,,绝缘阻抗大小，逆变器在检测状态检测,"Insulation impedance size, the inverter detects in the detection state"
"系统时间
2-1","System time
2-1",042C,1068 ,SysTime_Year,U16,,,,,R,系统时间-年,System Time - Year,End-users,,,,,,,"实际年份用2000年加上读出来的数据
例：0x0016指2022年","Actual year in 2000 plus the read out data
Example: 0x0016 refers to the year 2022"
,,042D,1069 ,SysTime_Month,U16,,,,,R,系统时间-月,System Time - Months,End-users,,,,,,,例：0x0005指5月,Example: 0x0005 refers to the month of May
,,042E,1070 ,SysTime_Date,U16,,,,,R,系统时间-日,System time - day,End-users,,,,,,,例：0x000F指15日,Example: 0x000F refers to the 15th
,,042F,1071 ,SysTime_Hour,U16,,,,,R,系统时间-时,System Time - Hour,End-users,,,,,,,例：0x0010指16时,Example: 0x0010 refers to the 16th hour
,,0430,1072 ,SysTime_Minute,U16,,,,,R,系统时间-分,System Time - Minute,End-users,,,,,,,例：0x0020指32分,Example: 0x0020 refers to 32 minutes
,,0431,1073 ,SysTime_Second,U16,,,,,R,系统时间-秒,System time-second,End-users,,,,,,,例：0x0030指48秒,Example: 0x0030 refers to 48 seconds
"故障信息表
2-2","Fault Information Sheet
2-2",0432 -- 043D,#NUM!,Fault19 -- 30,U16,,,,,R,"故障信息表19-30（12个）。
记录逆变器的故障信息，前18个在0x0418地址","Fault message table 19-30 (12).
Record fault messages for the inverter, first 18 at address 0x0418",End-users,,,,,,,对应故障信息查看此表格的另外一张工作表“故障位域说明”，案例请查看0x0405地址备注,"For the corresponding fault information see the other worksheet of this form ""Fault Bit Field Description"", for the case see 0x0405 Address Remarks"
,,043E -- 043F,#NUM!,,,,,,,,预留,Reserved,,,,,,,,,
,,0440 -- 0443,#NUM!,AddressMask_Realtime_SysInfo2,U64,,,,,R,"本地址开始的64个寄存器地址字的掩码区。
参看地址0x0040的说明","Mask area for the 64 register address words starting at this address.
Refer to the description of address 0x0040",End-users,00000000,0000000F,,,,,,
,,0444,1092 ,Production_Code,U16,,,,,,预留,Reserved,,,,,,,,,
"机器序列号
2-1","Machine serial number
2-1",0445 -- 044C,#NUM!,Serial_Number0 -- 7,ASCII,,,,,R,机器序列号Serial_Number0-7（8个，表示序列号第1-16位），第17-20位在寄存器地址0x0470和0x0471,"Machine serial number Serial_Number0-7 (8, indicating serial number bits 1-16), bits 17-20 at register addresses 0x0470 and 0x0471",End-users,,,,,,,"解析需要查看DCC的条码规则定义文档
Serial_Number0是序列号第1、2位，其他依次类推，
寄存器高8位存放序列号第1位；
寄存器低8位存放序列号第2位。
例：0x5353指""SS""","To resolve this you need to check the DCC barcode rule definition document
Serial_Number0 is serial number bits 1 and 2, and so on.
The high 8 bits of the register hold the serial number bit 1;
The low 8 bits of the register store the second bit of the serial number.
Example: 0x5353 means ""SS""
"
硬件版本号,Hardware version number,044D -- 044E,#NUM!,Hardware_Version0 -- 1,ASCII,,,,,R,硬件版本号0-2（2个，4个ASCII位）,"Hardware version number 0-2 (2, 4 ASCII bits)",End-users,,,,,,,"地址0x044D表示第1、2位。依次类推。
寄存器高8位存放序列号第1位；
寄存器低8位存放序列号第2位。
例：0x5630指""V0"",0x3033指""03""，实测：V003",Address 0x044D means bits 1 and 2. And so on. The high 8 bits of the register hold bit 1 of the sequence number;
"通讯芯片
软件版本号","Communication chip
Software version number",044F,1103 ,Software_Version_Stage_COM,ASCII,,,,,R,"通讯芯片软件版本号阶段定义位。
寄存器低8位存放ASCII码。正式版本的默认值为'V'。
","Communication chip software version number phase definition bits.
The lower 8 bits of the register hold the ASCII code. The default value for the official version is 'V'.
",End-users,,,,,,,"地址0x044F有'V'、'G'、'I'等版本，均为正式版
0G100003即表示通讯芯片软件版本号为G100003
例1：地址0x044F读取的0x3047表示""0G""
例2：地址0x0450读取的0x3130表示""10""
例3：地址0x0451读取的0x3030表示""00""","Address 0x044F has versions 'V', 'G', 'I', etc., all of which are official versions
0G100003 means that the communication chip software version number is G100003
Example 1: 0x3047 read at address 0x044F means ""0G""
Example 2: 0x3130 read at address 0x0450 means ""10""
Example 3: 0x3030 read at address 0x0451 means ""00"""
,,0450,1104 ,Software_Version_Major_COM,ASCII,,,,,R,"通讯芯片软件主版本号。
同一个系统中所有芯片主版本号必须一致，否则视为系统故障。
寄存器高8位存放高位数字；
寄存器低8位存放低位数字。","Communication chip software major version number.
All chip master version numbers in the same system must be the same, otherwise it is considered a system fault.
The high 8 bits of the register hold the high digits;
The low 8 bits of the register hold the low digits.",End-users,,,,,,,,
,,0451,1105 ,Software_Version_Custom_COM,ASCII,,,,,R,"通讯芯片软件非标定制版本号。
正标软件此版本号为""00""。同一个系统中所有芯片非标定制版本号必须一致，否则视为系统故障。
寄存器高8位存放高位数字；
寄存器低8位存放低位数字。","Non-standard custom version number of the communication chip software.
This version number of the genuine software is ""00"". All chips in the same system must have the same non-standard custom version number, otherwise it is considered a system fault.
The high 8 bits of the register hold the high digit;
The lower 8 bits of the register hold the lower digits.",End-users,,,,,,,,
,,0452,1106 ,Software_Version_Minor_COM,ASCII,,,,,R,"通讯芯片软件子版本号。
寄存器高8位存放高位数字；
寄存器低8位存放低位数字。
例：0x3033指""03""","Communication chip software sub-version number.
Register high 8 bits hold high digits;
The low 8 bits of the register hold the low digit.
Example: 0x3033 means ""03""
",End-users,,,,,,,,
"主控制器芯片
软件版本号",Main controller chip-Software version number,0453,1107 ,Software_Version_Stage_Master,ASCII,,,,,R,"主控制器芯片软件版本号阶段定义位。
寄存器低8位存放ASCII码。正式版本的默认值为'V'。
寄存器高8位存放高位数字；
寄存器低8位存放低位数字。","Master controller chip software version number phase definition bit.The lower 8 bits of the register hold the ASCII code. The default value for the official version is 'V'.Register high 8 bits holding high digits;The low 8 bits of the register hold the low digits.""",End-users,,,,,,,"地址0x0453可能有其他字符
案例分析请查看通讯芯片软件版本号说明
0V100002即表示主控制器芯片软件版本号为V100002","Address 0x0453 may have other characters
For case analysis please check the communication chip software version number description
0V100002 means that the main controller chip software version number is V100002"
,,0454,1108 ,Software_Version_Major_Master,ASCII,,,,,R,"主控制器芯片软件主版本号。
同一个系统中所有芯片主版本号必须一致，否则视为系统故障。
寄存器高8位存放高位数字；
寄存器低8位存放低位数字。","Master controller chip software master version number.
All chip master version numbers in the same system must be the same, otherwise it is considered a system fault.
The high 8 bits of the register hold the high digit;
The low 8 bits of the register hold the low digits.",End-users,,,,,,,,
,,0455,1109 ,Software_Version_Custom_Master,ASCII,,,,,R,"主控制器芯片软件非标定制版本号。
正标软件此版本号为""00""。同一个系统中所有芯片非标定制版本号必须一致，否则视为系统故障。
寄存器高8位存放高位数字；
寄存器低8位存放低位数字。","Non-standard custom version number of the main controller chip software.
This version number of the genuine software is ""00"". All chips in the same system must have the same non-standard custom version number, otherwise it is considered a system fault.
The high 8 bits of the register hold the high digit;
The lower 8 bits of the register hold the lower digits.",End-users,,,,,,,,
,,0456,1110 ,Software_Version_Minor_Master,ASCII,,,,,R,"主控制器芯片软件子版本号。
寄存器高8位存放高位数字；
寄存器低8位存放低位数字。","Master controller chip software sub-version number.
Register high 8 bits hold high digits;
Register low 8 bits hold low digits.",End-users,,,,,,,,
"副控制器芯片
软件版本号",Sub-controller chips-Software version number,0457,1111 ,Software_Version_Stage_Slave,ASCII,,,,,R,"副控制器芯片软件版本号阶段定义位。
寄存器低8位存放ASCII码。正式版本的默认值为'V'。
寄存器高8位存放高位数字；
寄存器低8位存放低位数字。","Sub-controller chip software version number phase definition bits.
The low 8 bits of the register hold the ASCII code. The default value for the official version is 'V'.
Register high 8 bits hold high digits;
The low 8 bits of the register hold the low digits.",End-users,,,,,,,"地址0x0457可能有其他字符
案例分析请查看通讯芯片软件版本号说明
0L100000即表示副控制器芯片软件版本号为L100000","Address 0x0457 may have other characters
For case study please check the communication chip software version number description
0L100000 means that the sub-controller chip software version number is L100000"
,,0458,1112 ,Software_Version_Major_Slave,ASCII,,,,,R,"副控制器芯片软件主版本号。
同一个系统中所有芯片主版本号必须一致，否则视为系统故障。
寄存器高8位存放高位数字；
寄存器低8位存放低位数字。","Sub-controller chip software major version number.
All chip master version numbers in the same system must be the same, otherwise it is considered a system fault.
The high 8 bits of the register hold the high digits;
The low 8 bits of the register hold the low digits.",End-users,,,,,,,,
,,0459,1113 ,Software_Version_Custom_Slave,ASCII,,,,,R,"副控制器芯片软件非标定制版本号。
正标软件此版本号为""00""。同一个系统中所有芯片非标定制版本号必须一致，否则视为系统故障。
寄存器高8位存放高位数字；
寄存器低8位存放低位数字。","Non-standard custom version number of the sub-controller chip software.
This version number of the positive standard software is ""00"". All chip non-standard custom version numbers in the same system must be the same, otherwise it is considered a system fault.
The high 8 bits of the register hold the high digit;
The lower 8 bits of the register hold the lower digits.",End-users,,,,,,,,
,,045A,1114 ,Software_Version_Minor_Slave,ASCII,,,,,R,"副控制器芯片软件子版本号。
寄存器高8位存放高位数字；
寄存器低8位存放低位数字。","Sub-controller chip software sub-version number.
Register high 8 bits hold high digits;
Register low 8 bits holds low digits.",End-users,,,,,,,,
"安规库
版本号","Safety Library
Version number",045B,1115 ,Safety_Version_Major,U16,,,,,R,"安规库主版本号
例：0x3036指06主版本","Security library major version number
Example: 0x3036 refers to 06 major version",End-users,,,,,,,"实测：安规版本为608
数据按U16进行存储
按块读是ASCII码，单寄存器读是U16
单寄存器读取时是0x0006、0x0008表示0608","Actual test: Safety version 608
Data is stored by U16
Read by block is ASCII, single register read is U16
Single register read is 0x0006, 0x0008 for 0608"
,,045C,1116 ,Safety_version_Minor,U16,,,,,R,"安规库子版本号
例：0x3038指08子版本 ","Safety library sub-version number
Example: 0x3038 refers to sub-version 08 ",End-users,,,,,,,,
BOOT版本号,BOOT version number,045D,1117 ,Boot_Version_COM,U16,,,,,R,通讯板的BOOT版本号,BOOT version number of the communication board,End-users,,,,,,,,
,,045E,1118 ,Boot_Version_Master,U16,,,,,R,主DSP的BOOT版本号,BOOT version number of the main DSP,End-users,,,,,,,,
,,045F,1119 ,Boot_Version_Slave,U16,,,,,R,副DSP的BOOT版本号,BOOT version number of the secondary DSP,End-users,,,,,,,,
"安规认证
相关版本号",Safety certification-Relevant version number,0460,1120 ,Safety_Firmware_Version_Stage,ASCII,,,,,R,"安规认证软件版本号阶段定义位。
寄存器低8位存放ASCII码。正式版本的默认值为'V'。
寄存器高8位存放高位数字；
寄存器低8位存放低位数字。","Phase definition bits of the safety certification software version number.
The lower 8 bits of the register hold the ASCII code. The default value for the official version is 'V'.
Register high 8 bits holding high digits;
The low 8 bits of the register hold the low digit.",End-users,,,,,,,"案例分析请查看通讯芯片软件版本号说明
0V000001即表示安规软件认证版本号为V000001","For case studies please see the communication chip software version number description
0V000001 means that the safety software certification version number is V000001"
,,0461,1121 ,Safety_Firmware_Version_Major,ASCII,,,,,R,"安规认证软件主版本号。
同一个系统中所有芯片主版本号必须一致，否则视为系统故障。
寄存器高8位存放高位数字；
寄存器低8位存放低位数字。","Safety certified software master version number.
All chip master version numbers in the same system must be the same, otherwise it is considered a system fault.
The high 8 bits of the register hold the high digit;
The lower 8 bits of the register hold the lower digits.",End-users,,,,,,,,
,,0462,1122 ,Safety_Firmware_Version_Custom,ASCII,,,,,R,"安规认证软件非标定制版本号。
正标软件此版本号为""00""。同一个系统中所有芯片非标定制版本号必须一致，否则视为系统故障。
寄存器高8位存放高位数字；
寄存器低8位存放低位数字。","Non-standard custom version number for safety certified software.
This version number of the genuine standard software is ""00"". All chips in the same system must have the same non-standard custom version number, otherwise it is considered a system fault.
The high 8 bits of the register hold the high digit;
The lower 8 bits of the register hold the lower digits.",End-users,,,,,,,,
,,0463,1123 ,Safety_Firmware_Version_Minor,ASCII,,,,,R,"安规认证软件子版本号。
寄存器高8位存放高位数字；
寄存器低8位存放低位数字。","Safety certified software sub-version number.
Register high 8 bits hold high digits;
Register low 8 bits holds low digits.",End-users,,,,,,,,
,,0464,1124 ,Safety_Hardware_Version0,ASCII,,,,,R,"安规认证硬件版本号第1、2位。
寄存器高8位存放序列号第1位；
寄存器低8位存放序列号第2位。","Safety certified hardware version number bits 1 and 2.
Register high 8 bits holds serial number bit 1;
Register low 8 bits holds serial number bit 2.",End-users,,,,,,,"案例分析请查看硬件版本号说明
实测：安规硬件认证版本号为V201","See hardware version number description for case study
Actual test: safety-compliant hardware certification version number V201"
,,0465,1125 ,Safety_Hardware_Version1,ASCII,,,,,R,"安规认证硬件版本号第3、4位。
寄存器高8位存放序列号第3位；
寄存器低8位存放序列号第4位。","Safety certified hardware version number bits 3 and 4.
Register high 8 bits holds serial number bit 3;
Register low 8 bits holds serial number bit 4.",End-users,,,,,,,,
AFCI版本号,AFCI version number,0466,1126 ,Afci_Ver_Firmware,ASCII,,,,,R,"afci固件版本号'V'。
高8位保留；
低8位存放版本号。","afci firmware version number 'V'.
High 8 bits reserved;
Lower 8 bits hold the version number.",,,,,,,,"案例分析请查看通讯芯片软件版本号说明
请对照ASCII码翻译查看","For case studies, please check the software version number of the communication chip
Please check against ASCII code translation"
,,0467,1127 ,Afci_Ver_Sft,ASCII,,,,,R,"afci软件版本。
高8位存放第1位；
低8位存放第2位。","afci software version.
High 8 bits hold bit 1;
Low 8 bits hold bit 2.",,,,,,,,,
,,0468,1128 ,Afci_Ver_Hard,ASCII,,,,,R,"afci硬件版本
高8位存放第1位；
低8位存放第2位。","afci hardware version.
High 8 bits hold bit 1;
Low 8 bits hold bit 2.",,,,,,,,,
,,0469,1129 ,Afci_Srs_Hard,ASCII,,,,,R,"afci硬件序列号。
高8位存放第1位；
低8位存放第2位。","afci hardware serial number.
High 8 bits hold bit 1;
Low 8 bits hold bit 2.",,,,,,,,,
,,046A,1130 ,Afci_Ver_Com,ASCII,,,,,R,"afci通信版本。
高8位存放第1位；
低8位存放第2位。","afci communication version.
High 8 bits hold bit 1;
Low 8 bits hold bit 2.",,,,,,,,,
"安规文件包
版本号",Safety documentation package-Version number,046B,1131 ,Safety_Package_Version0,ASCII,,,,,R,"安规文件包版本号第1、2位。
寄存器高8位存放序列号第1位；
寄存器低8位存放序列号第2位。","anci file package version number bits 1 and 2.
Register high 8 bits holds serial number bit 1;
Register low 8 bits holds serial number bit 2.",,,,,,,,"
案例分析请查看通讯芯片软件版本号说明请对照ASCII码翻译查看","
For case studies please check the communication chip software version number description please check against the ASCII code translation "
,,046C,1132 ,Safety_Package_Version1,ASCII,,,,,R,"安规文件包版本号第3、4位。
寄存器高8位存放序列号第3位；
寄存器低8位存放序列号第4位。","Bit 3 and 4 of the version number of the safety file package.
Register high 8 bits to hold serial number bit 3;
Register low 8 bits holds serial number bit 4.",,,,,,,,,
,,046D -- 046F,#NUM!,,,,,,,,预留,Reserved,,,,,,,,,
"机器序列号
2-2","Machine serial number
2-2",0470 -- 0471,#NUM!,Serial_Number8 -- 9,ASCII,,,,,R,"机器序列号Serial_Number8-9。
表示第17-20位，第1-16位在寄存器地址0x0445
","Machine serial number Serial_Number8-9.
Indicates bits 17-20, bits 1-16 in register address 0x0445
",End-users,,,,,,,"序列号第15-20位在20位序列号使用，14位序列号不使用
寄存器0x0470高8位存放序列号第17位；
寄存器0x0470低8位存放序列号第18位。","Serial number bits 15-20 are used in 20-bit serial number, 14-bit serial number is not used
register 0x0470 high 8 bits holds the 17th bit of the serial number;
Register 0x0470 low 8 bits holds serial number bit 18."
,,0472 -- 0476,#NUM!,Serial_Number11_Rsvd0 -- 4,ASCII,,,,,R,预留0-4（5个）,Reserved 0-4 (of 5),,,,,,,,,
状态信息表,Status information sheet,0477 -- 047F,#NUM!,State1 -- 9,U16,,,,,R,"状态信息表1-9（9个）。
记录逆变器的状态信息
","Status information table 1-9 (9)
Records the status information of the inverter",End-users,,,,,,,对应状态信息查看此表格的另外一张工作表“状态信息表”,"For the corresponding status information see the other worksheet of this form ""Status Information Sheet"""
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
2.2Grid-connected output(0x0480-0x04FF),,,,,,,,,,,,,,,,,,,,,
,,0480 -- 0483,#NUM!,AddressMask_Realtime_GridOutput1,U64,,,,,R,"本地址开始的64个寄存器地址字的掩码区。
参看地址0x0040的说明","Mask area for the 64 register address words starting at this address.
Refer to the description of address 0x0040",End-users,00000000,0000000F,,,,,,
电网频率,Grid frequency,0484,197764 ,Frequency_Grid,U16,0.01,Hz,,,R,电网频率。,Grid frequency.,End-users,,,,,,,例：0x138B表示50.03Hz,Example: 0x138B means 50.03Hz
功率数据,Power data,0485,1157 ,ActivePower_Output_Total,I16,0.01,kW,,,R,总有功功率。,Total active power.,End-users,,,,,,,"逆变器的输出功率，放电为正，充电为负
例：0x006A表示1.06KW","Inverter output power, discharging is positive, charging is negative
Example: 0x006A means 1.06 KW"
,,0486,1158 ,ReactivePower_Output_Total,I16,0.01,kW,,,R,总无功功率。,Total reactive power.,End-users,,,,,,,用来在设备中建立和维持磁场的电功率，逆变器端超前为正，滞后为负,"Electrical power used to establish and maintain the magnetic field in the device, overrun is positive and hysteresis is negative at the inverter end"
,,0487,,ApparentPower_Output_Total,I16,0.01,kW,,,R,总视在功率。,Total apparent power.,End-users,,,,,,,逆变器当前电压电流的最大有功功率，放电为正，充电为负,"The maximum active power of the current voltage and current of the inverter, positive for discharging, negative for charging"
,,0488,,ActivePower_PCC_Total,I16,0.01,kW,,,R,总PCC有功功率。,Total PCC active power.,End-users,,,,,,,能流图电网功率的读取地址，部分机型需要接电表才有数据，卖电为正，买电为负,"Reading address of the grid power of the energy flow diagram, some models need to be connected to a power meter to have data, positive for selling power, negative for buying power"
,,0489,,ReactivePower_PCC_Total,I16,0.01,kW,,,R,总PCC无功功率。,Total PCC reactive power.,End-users,,,,,,,逆变器端超前为正，滞后为负,The inverter side is positive for overruns and negative for lags
